word	lexicon
a	custom
about	custom
above	custom
after	custom
again	custom
against	custom
all	custom
am	custom
an	custom
and	custom
any	custom
are	custom
aren't	custom
as	custom
at	custom
be	custom
because	custom
been	custom
before	custom
being	custom
below	custom
between	custom
both	custom
but	custom
by	custom
can't	custom
cannot	custom
could	custom
couldn't	custom
did	custom
didn't	custom
do	custom
does	custom
doesn't	custom
doing	custom
don't	custom
down	custom
during	custom
each	custom
few	custom
for	custom
from	custom
further	custom
had	custom
hadn't	custom
has	custom
hasn't	custom
have	custom
haven't	custom
having	custom
he	custom
he'd	custom
he'll	custom
he's	custom
her	custom
here	custom
here's	custom
hers	custom
herself	custom
him	custom
himself	custom
his	custom
how	custom
how's	custom
i	custom
i'd	custom
i'll	custom
i'm	custom
i've	custom
if	custom
in	custom
into	custom
is	custom
isn't	custom
it	custom
it's	custom
its	custom
itself	custom
let's	custom
me	custom
more	custom
most	custom
mustn't	custom
my	custom
myself	custom
no	custom
nor	custom
not	custom
of	custom
off	custom
on	custom
the	custom
to	custom
once	custom
only	custom
or	custom
other	custom
ought	custom
our	custom
ours	custom
