movies	years	ids	links	rates
Похмельные игры	2014	tt3138104	/title/tt3138104/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=c28fd853-7526-417a-ad2b-02e76562a472&pf_rd_r=P7P25BH2AM9X6ST981Z5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_100	4.1
Bыпyскной	2008	tt0926129	/title/tt0926129/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=c28fd853-7526-417a-ad2b-02e76562a472&pf_rd_r=P7P25BH2AM9X6ST981Z5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_99	4.1
План побега 2	2018	tt6513656	/title/tt6513656/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=c28fd853-7526-417a-ad2b-02e76562a472&pf_rd_r=P7P25BH2AM9X6ST981Z5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_98	4.0
Шестой элемент	2000	tt0157262	/title/tt0157262/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=c28fd853-7526-417a-ad2b-02e76562a472&pf_rd_r=P7P25BH2AM9X6ST981Z5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_97	4.0
Холмс и Ватсон	2018	tt1255919	/title/tt1255919/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=c28fd853-7526-417a-ad2b-02e76562a472&pf_rd_r=P7P25BH2AM9X6ST981Z5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_96	4.0
Крошка из Беверли-Хиллз	2008	tt1014775	/title/tt1014775/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=c28fd853-7526-417a-ad2b-02e76562a472&pf_rd_r=P7P25BH2AM9X6ST981Z5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_95	4.0
Уличный боец	1994	tt0111301	/title/tt0111301/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=c28fd853-7526-417a-ad2b-02e76562a472&pf_rd_r=P7P25BH2AM9X6ST981Z5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_94	4.0
Exorcist II: The Heretic	1977	tt0076009	/title/tt0076009/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=c28fd853-7526-417a-ad2b-02e76562a472&pf_rd_r=P7P25BH2AM9X6ST981Z5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_93	4.0
Кот	2003	tt0312528	/title/tt0312528/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=c28fd853-7526-417a-ad2b-02e76562a472&pf_rd_r=P7P25BH2AM9X6ST981Z5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_92	4.0
Баллистика: Экс против Сивер	2002	tt0308208	/title/tt0308208/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=c28fd853-7526-417a-ad2b-02e76562a472&pf_rd_r=P7P25BH2AM9X6ST981Z5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_91	4.0
